CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
1107;USNO-B1.0 1215-0101885;;05 46 58.126;+31 32 38.72;Aur;;;15.703;-0.143;0.8;C;2457715.41;4.390981;PC;2017;http://var2.astro.cz/czev.php?id=1107
1108;USNO-B1.0 1202-0100504;;05 46 41.614;+30 12 29.76;Aur;EA;;15.985;0.759;0.6;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1108
1109;USNO-B1.0 1202-0101248;;05 47 47.112;+30 12 46.29;Aur;EW;;16.084;1.032;0.7;C;2457387.881;0.340176;PC;2017;http://var2.astro.cz/czev.php?id=1109
1110;UCAC4 606-024654;;05 49 56.393;+31 01 10.98;Aur;EA;15.826;14.87;0.438;0.95;C;2457755.525;7.240172;PC;2017;http://var2.astro.cz/czev.php?id=1110
1111;UCAC4 602-024653;;05 48 21.743;+30 19 13.75;Aur;EA;;13.72;0.511;0.6;C;2757714.008;4.060837;PC;2017;http://var2.astro.cz/czev.php?id=1111
1112;USNO-B1.0 1205-0104603;;05 49 00.767;+30 34 05.54;Aur;EW;;15.646;0.17;0.5;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1112
1113;USNO-B1.0 1210-0100540;;05 46 31.18;+31 04 58.5;Aur;EW;;15.761;0.325;0.5;C;2456747.8454;0.317208;PC;2017;http://var2.astro.cz/czev.php?id=1113
1114;USNO-B1.0 1208-0103325;;05 50 52.014;+30 53 50.91;Aur;EA;;15.549;0.847;0.6;C;2456353.324;1.184104;PC;2017;http://var2.astro.cz/czev.php?id=1114
1115;USNO-B1.0 1208-0100750;;05 47 17.202;+30 49 26.68;Aur;EW;;15.625;0.577;0.4;C;2456684.736;0.332656;PC;2017;http://var2.astro.cz/czev.php?id=1115
1116;USNO-B1.0 1212-0099601;;05 46 27.252;+31 16 25.82;Aur;EW;;15.778;0.77;0.4;C;2456712.7423;0.34494;PC;2014;http://var2.astro.cz/czev.php?id=1116
1117;USNO-B1.0 1214-0103250;;05 46 59.909;+31 24 36.91;Aur;EW;;15.913;0.348;0.5;C;2456712.705;0.31229;PC;2017;http://var2.astro.cz/czev.php?id=1117
1118;USNO-B1.0 1215-0105828;;05 52 06.660;+31 30 24.31;Aur;EA;;15.505;0.417;0.5;C;2455962.625;1.246773;PC;2017;http://var2.astro.cz/czev.php?id=1118
1119;UCAC4 602-025136;;05 50 02.072;+30 12 15.23;Aur;EW;12.122;10.978;0.305;0.22;C;2457387.994;0.870203;PC, FW;2017;http://var2.astro.cz/czev.php?id=1119
1120;UCAC4 602-025266;;05 50 27.205;+30 20 26.16;Aur;DSCT;12.418;11.367;0.258;0.02;C;2457387.5565;0.099836;PC;2017;http://var2.astro.cz/czev.php?id=1120
1121;UCAC4 602-024898;;05 49 19.295;+30 23 27.16;Aur;DSCT;12.553;11.443;0.245;0.04;C;2457387.6751;0.105771;PC;2017;http://var2.astro.cz/czev.php?id=1121
1122;UCAC4 606-023683;;05 46 33.915;+31 01 50.44;Aur;DSCT;12.872;11.91;0.242;0.02;C;2456712.49;0.041826;PC;2017;http://var2.astro.cz/czev.php?id=1122
1123;UCAC4 609-023034;;05 46 17.386;+31 38 08.69;Aur;DSCT;13.086;11.997;0.22;0.05;C;2456730.5265;0.50045;PC;2017;http://var2.astro.cz/czev.php?id=1123
1124;UCAC4 602-024563;;05 47 56.153;+30 21 35.14;Aur;DSCT;12.999;12.165;0.186;0.03;C;2457387.5887;0.047056;PC;2017;http://var2.astro.cz/czev.php?id=1124
1125;UCAC4 608-024404;;05 46 37.480;+31 32 47.77;Aur;DSCT;13.234;12.182;0.221;0.05;C;2456731.7051;0.356603;PC;2017;http://var2.astro.cz/czev.php?id=1125
1126;UCAC4 604-025299;;05 50 00.980;+30 44 01.22;Aur;DSCT;13.102;11.873;0.335;0.04;C;2456246.55;0.058464;PC;2017;http://var2.astro.cz/czev.php?id=1126
1127;UCAC4 603-026053;;05 49 08.967;+30 29 52.19;Aur;EW;13.234;11.833;0.377;0.03;C;2457388.8785;0.490364;PC;2017;http://var2.astro.cz/czev.php?id=1127
1128;UCAC4 605-025940;;05 51 11.842;+30 54 18.80;Aur;DSCT;13.446;11.817;0.43;0.03;C;2456222.2936;0.172064;PC;2017;http://var2.astro.cz/czev.php?id=1128
1129;UCAC4 607-023242;;05 46 24.355;+31 18 22.59;Aur;DSCT;13.62;12.191;0.394;0.02;C;2456721.7138;0.167915;PC;2017;http://var2.astro.cz/czev.php?id=1129
1130;UCAC4 602-025189;;05 50 12.567;+30 18 45.09;Aur;DSCT;13.812;12.672;0.4;0.04;C;2457388.0492;0.468428;PC;2017;http://var2.astro.cz/czev.php?id=1130
