CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
154;UCAC4 796-040502;CzeV154;23 49 45.723;+69 04 59.02;Cep;EA;;10.625;0.415;0.3;Rc;2451304.658;0.734444;LB;2008;http://var2.astro.cz/czev.php?id=154
155;UCAC4 605-063331;CzeV155;18 29 42.032;+30 54 14.14;Lyr;DSCT:;;14.792;0.145;0.3;C;;;JT;2008;http://var2.astro.cz/czev.php?id=155
156;UCAC4 605-063402;CzeV156;18 30 19.299;+30 53 43.55;Lyr;EW;;12.235;0.359;0.3;C;2454593.5639;0.4122;JT;2008;http://var2.astro.cz/czev.php?id=156
157;UCAC4 465-026784;CzeV157;07 05 31.729;+02 58 27.97;Mon;EW;14.45;13.193;0.283;0.4;C;2454531.4848;0.5633;JT;2008;http://var2.astro.cz/czev.php?id=157
158;UCAC4 689-111475;UCAC2 47746958;22 10 37.106;+47 38 21.96;Lac;E;15.17;14.191;0.288;0.2;C;;;JT;2008;http://var2.astro.cz/czev.php?id=158
159;USNO-B1.0 1376-0550411;V0466 Lac;22 11 54.820;+47 39 18.60;Lac;EA;;14.109;0.821;0.7;C;2454705.5818;0.359646;JT;2008;http://var2.astro.cz/czev.php?id=159
160;UCAC4 581-094155;GSC 02144-00407;19 48 55.265;+26 04 37.61;Vul;E;14.11;12.046;0.546;1.2;Rc;;;RE;2008;http://var2.astro.cz/czev.php?id=160
161;UCAC4 674-113986;V0492 Lac;22 27 04.271;+44 45 59.45;Lac;EW;;13.911;0.757;0.5;Rc;2455068.5067;0.257635;ML;2008;http://var2.astro.cz/czev.php?id=161
162;UCAC4 742-045663;NSVS 2409428;07 20 39.968;+58 22 51.47;Lyn;EW;14.64;13.519;0.453;0.8;Rc;;;LB;2008;http://var2.astro.cz/czev.php?id=162
163;UCAC4 685-111973;SvkV15;21 58 23.967;+46 54 05.02;Cyg;PULS;13.5;12.312;0.273;0.03;V;2454748.458;0.1148;PZ;2008;http://var2.astro.cz/czev.php?id=163
164;UCAC4 596-015915;;05 03 14.468;+29 11 38.45;Aur;PULS;11.14;10.096;0.276;0.01;V;;;PZ;2008;http://var2.astro.cz/czev.php?id=164
165;UCAC4 621-073501;;19 23 13.173;+34 00 35.34;Lyr;PULS;;12.19;0.865;0.4;V;;;FL;2008;http://var2.astro.cz/czev.php?id=165
166;UCAC4 610-030090;V0803 Aur;06 12 13.907;+31 48 25.15;Aur;HADS;12.98;12.044;0.248;0.2;C;;0.071051;VP;2008;http://var2.astro.cz/czev.php?id=166
167;UCAC4 660-001790;CSS_J002641.1+415921;00 26 41.173;+41 59 21.68;And;;15.36;13.38;0.711;0.6;V;;;FL;2008;http://var2.astro.cz/czev.php?id=167
168;UCAC4 622-070450;;19 21 23.049;+34 15 21.89;Lyr;EA;10.78;10.374;0.057;;;2457619.61;0.829889;FL;2008;http://var2.astro.cz/czev.php?id=168
169;UCAC4 596-086496;;19 34 03.752;+29 01 18.67;Cyg;;10.47;9.566;0.228;;;;;FL;2008;http://var2.astro.cz/czev.php?id=169
170;UCAC4 624-068720;;19 20 25.527;+34 47 43.09;Lyr;EW;12.53;11.787;0.216;;;2457646.339;0.382755;FL;2008;http://var2.astro.cz/czev.php?id=170
171;UCAC4 690-111946;CzeV171;22 11 07.244;+47 53 39.64;Lac;EW:;;14.713;0.557;0.7;V;;;JT;2008;http://var2.astro.cz/czev.php?id=171
172;UCAC4 682-043722;;06 34 18.985;+46 20 59.97;Aur;EB:;16.24;14.656;0.61;0.3;V;;;JT;2008;http://var2.astro.cz/czev.php?id=172
173;UCAC4 615-121197;1SWASP J212624.19+325248.7;21 26 24.190;+32 52 48.68;Cyg;;11.31;9.867;0.359;;;2455418.514;0.480711;RD;2007;http://var2.astro.cz/czev.php?id=173
174;UCAC4 447-022973;GDS_J0649217-004410;06 49 21.764;-00 44 10.15;Mon;EA;12.8;11.639;0.407;0.3;C;;;LB;2008;http://var2.astro.cz/czev.php?id=174
175;UCAC4 447-023032;ASAS J064934-0037.5;06 49 34.102;-00 37 27.36;Mon;EA;12.81;11.723;0.146;0.41;C;;;LB;2009;http://var2.astro.cz/czev.php?id=175
176;UCAC4 521-035347;V0452 Gem;06 59 20.312;+14 09 10.31;Gem;EA;15.33;13.612;0.618;0.7;C;2454834.5908;0.48001;JT;2008;http://var2.astro.cz/czev.php?id=176
177;UCAC4 521-035672;V0453 Gem;07 00 32.874;+14 07 12.30;Gem;EW;13.19;11.959;0.381;0.3;C;2454830.393;0.35986;JT;2008;http://var2.astro.cz/czev.php?id=177
178;UCAC4 743-021295;CzeV178;02 11 15.614;+58 32 07.48;Per;HADS;;13.916;0.332;0.25;C;;;JT;2009;http://var2.astro.cz/czev.php?id=178
179;UCAC4 368-122564;NSV 10329;18 11 12.389;-16 24 28.05;Sgr;PULS;11.65;10.362;0.336;0.02;V;2455051.815;0.0984;PZ;2009;http://var2.astro.cz/czev.php?id=179
180;UCAC4 730-083447;;22 18 26.291;+55 53 52.85;Cep;;13.04;11.944;0.189;0.06;B;;;PZ;2009;http://var2.astro.cz/czev.php?id=180
181;UCAC4 730-083348;;22 18 00.184;+55 52 55.99;Cep;PULS;13.05;12.112;0.099;0.03;B;2455053.871;0.0381;PZ;2009;http://var2.astro.cz/czev.php?id=181
182;UCAC4 603-088909;UCAC3 241-193174;19 39 30.518;+30 27 58.59;Cyg;EW;;12.013;0.458;0.25;Rc;2455067.5384;0.34082;FL;2009;http://var2.astro.cz/czev.php?id=182
183;UCAC4 630-060454;;18 41 21.960;+35 52 50.92;Cyg;;;12.694;0.347;0.9;Rc;;;FL;2009;http://var2.astro.cz/czev.php?id=183
184;UCAC4 603-089218;;19 39 50.953;+30 25 42.78;Cyg;;15.49;14.109;0.24;0.6;Rc;;;FL;2009;http://var2.astro.cz/czev.php?id=184
185;UCAC4 500-127413;;20 02 46.771;+09 51 17.71;Aql;EW:;15.39;13.829;0.353;;;2455064.405;0.308;MZ;2009;http://var2.astro.cz/czev.php?id=185
186;USNO-B1.0 1189-0346197;;19 20 45.445;+28 57 56.52;Lyr;;;15.487;0.839;;;;;MZ;2009;http://var2.astro.cz/czev.php?id=186
187;UCAC4 610-091500;;19 48 41.079;+31 49 45.90;Cyg;;10.96;9.608;0.397;0.2;Rc;;;FL;2009;http://var2.astro.cz/czev.php?id=187
188;UCAC4 609-091016;CzeV188;19 49 29.896;+31 40 39.36;Cyg;EW;14.35;12.23;0.524;0.4;Rc;2455083.5035;0.250295;FL;2009;http://var2.astro.cz/czev.php?id=188
189;UCAC4 662-112793;CSS_J231352.4+421315;23 13 52.432;+42 13 16.39;And;;14.94;13.346;0.464;0.3;C;;;VP;2009;http://var2.astro.cz/czev.php?id=189
190;UCAC4 720-095707;;22 32 36.884;+53 58 10.33;Lac;EW:;15.78;14.315;0.499;0.5;Rc;;;PZ;2009;http://var2.astro.cz/czev.php?id=190
191;UCAC4 612-070268;;19 16 25.623;+32 21 47.96;Lyr;DSCT;14.43;13.999;0.249;0.2;Rc;2455308.566;0.0644;PZ;2010;http://var2.astro.cz/czev.php?id=191
192;UCAC4 604-069974;CzeV192;19 07 53.576;+30 38 30.89;Lyr;HADS;;12.832;0.167;0.4;V;55352.4511;0.078;JT;2010;http://var2.astro.cz/czev.php?id=192
193;UCAC4 604-070058;2MASS J19080979+3045476;19 08 09.787;+30 45 47.63;Lyr;EW:;;11.38;0.557;0.15;V;;;JT;2010;http://var2.astro.cz/czev.php?id=193
194;UCAC4 605-070804;CzeV194;19 08 35.959;+30 55 11.77;Lyr;EW:;;13.368;0.321;;;;;JT;2010;http://var2.astro.cz/czev.php?id=194
195;UCAC4 624-060044;;18 42 31.594;+34 47 08.52;Lyr;EA:;;12.1;0.564;0.15;V;;;JT;2010;http://var2.astro.cz/czev.php?id=195
196;UCAC4 547-111697;;20 01 10.049;+19 18 47.22;Sge;EW:;12.82;11.731;0.41;0.3;C;2455376.406;0.3797;VP;2010;http://var2.astro.cz/czev.php?id=196
197;UCAC4 546-115254;;20 00 57.425;+19 06 55.58;Sge;EW;14.63;12.862;0.557;0.4;C;2455381.4498;0.259928;VP;2010;http://var2.astro.cz/czev.php?id=197
198;UCAC4 546-114147;;19 59 00.798;+19 00 46.73;Sge;HADS;;14.698;0.281;0.7;C;;0.0661;VP;2010;http://var2.astro.cz/czev.php?id=198
199;CzeV 182;;;;;;;;;;;;;FL;2010;http://var2.astro.cz/czev.php?id=199
200;UCAC4 603-088514;V2683 Cyg;19 39 02.575;+30 32 07.97;Cyg;E:;;14.154;0.368;0.78;Rc;2454410.246;0.67329;FL;2010;http://var2.astro.cz/czev.php?id=200
201;UCAC4 604-085393;;19 39 06.604;+30 39 02.70;Cyg;;15.31;14.298;0.241;0.57;Rc;;;FL;2010;http://var2.astro.cz/czev.php?id=201
202;CzeV 184;;;;;;;;;;;;;FL;2010;http://var2.astro.cz/czev.php?id=202
203;UCAC4 175-143466;CzeV203;15 55 22.634;-55 09 50.97;Nor;EW;14.88;12.766;0.564;0.5;Rc;;;ML, DH;2010;http://var2.astro.cz/czev.php?id=203
204;UCAC4 194-055931;CzeV204;11 11 42.899;-51 21 36.95;Cen;EW;13.71;12.018;0.538;0.5;V;;;ML, DH;2010;http://var2.astro.cz/czev.php?id=204
205;UCAC4 208-020008;CzeV205;08 12 03.370;-48 26 42.98;Vel;EW;13.76;12.504;0.343;0.3;V;;;ML, DH;2010;http://var2.astro.cz/czev.php?id=205
206;UCAC4 206-019237;CzeV206;08 10 52.662;-48 50 21.40;Vel;EW;13.33;12.11;0.356;0.7;V;;;ML, DH;2010;http://var2.astro.cz/czev.php?id=206
207;UCAC4 736-035365;;04 01 32.016;+57 09 14.12;Cam;RR;13.4;11.665;0.356;0.5;Rc;;;RK;2009;http://var2.astro.cz/czev.php?id=207
208;UCAC4 737-033509;Mis V1402;03 58 49.219;+57 15 17.46;Cam;EW;12.92;11.468;0.389;0.21;Rc;;;RK;2009;http://var2.astro.cz/czev.php?id=208
209;UCAC4 593-062722;;18 06 47.015;+28 27 16.73;Her;EB;;13.151;0.254;;;;;RK;2010;http://var2.astro.cz/czev.php?id=209
210;UCAC4 511-059878;;16 25 24.316;+12 01 19.14;Her;;14.47;12.735;0.566;0.15;C;;;RK;2010;http://var2.astro.cz/czev.php?id=210
211;UCAC4 453-023057;GDS_J0646047+002548;06 46 04.716;+00 25 48.70;Mon;EA;13.35;12.186;0.307;;;;;VP;2011;http://var2.astro.cz/czev.php?id=211
212;UCAC4 572-039901;GSC 01910-00661;07 26 45.616;+24 21 54.07;Gem;EW;12.42;11.896;0.267;1.3;C;;;VP;2011;http://var2.astro.cz/czev.php?id=212
213;UCAC4 572-040162;2MASS J07290954+2416373;07 29 09.558;+24 16 37.10;Gem;EW;14.92;13.8;0.332;0.3;C;;;VP;2011;http://var2.astro.cz/czev.php?id=213
214;UCAC4 573-040177;2MASS J7263063+2425240;07 26 30.636;+24 25 24.08;Gem;EW;15.1;14.135;0.335;0.2;C;;;VP;2011;http://var2.astro.cz/czev.php?id=214
215;UCAC4 572-040169;CSS_J072912.6+241236;07 29 12.694;+24 12 36.56;Gem;EW;15.54;14.261;0.444;0.3;C;;;VP;2011;http://var2.astro.cz/czev.php?id=215
216;UCAC4 572-040000;;07 27 42.950;+24 18 54.49;Gem;;15.3;12.842;0.773;0.15;C;;;VP;2011;http://var2.astro.cz/czev.php?id=216
217;UCAC4 479-013224;;05 46 43.927;+05 43 25.49;Ori;EW;15.54;13.154;0.626;0.5;C;2455603.0302;0.44018;PeC;2011;http://var2.astro.cz/czev.php?id=217
218;UCAC4 702-050345;CzeV218;10 21 40.906;+50 17 32.57;UMa;DSCT:;10.77;10.149;0.173;;;;;LB;2011;http://var2.astro.cz/czev.php?id=218
219;UCAC4 480-055517;CSS_J145129.5+055122;14 51 29.535;+05 51 21.25;Vir;RRC;13.93;13.414;0.146;0.3;C;;0.270169;LB;2011;http://var2.astro.cz/czev.php?id=219
220;UCAC4 542-038882;;07 13 33.109;+18 23 08.01;Gem;;14.56;13.7;0.209;;;;;FL;2011;http://var2.astro.cz/czev.php?id=220
221;UCAC4 542-038250;;07 09 34.627;+18 13 42.31;Gem;;15.34;13.533;0.52;;;;;FL;2011;http://var2.astro.cz/czev.php?id=221
222;UCAC4 542-038477;;07 11 02.000;+18 15 56.54;Gem;;15.22;14.729;0.157;;;;;FL;2011;http://var2.astro.cz/czev.php?id=222
223;UCAC4 541-038861;;07 11 59.304;+18 09 04.46;Gem;EW;15.82;14.118;0.551;0.48;Rc;2455593.2883;0.36164;FL;2011;http://var2.astro.cz/czev.php?id=223
224;UCAC4 541-038381;;07 09 09.908;+18 07 49.95;Gem;;;14.423;0.371;;;;;FL;2011;http://var2.astro.cz/czev.php?id=224
225;UCAC4 544-038765;;07 09 13.071;+18 40 33.26;Gem;;11.92;11.28;0.141;;;;;FL;2011;http://var2.astro.cz/czev.php?id=225
226;UCAC4 566-043120;;08 26 27.228;+23 08 58.81;Cnc;EA;13.37;11.825;0.518;0.4;C;2455628.4335;0.9015;PC;2011;http://var2.astro.cz/czev.php?id=226
227;UCAC4 568-044249;CSS_J082613.8+232505;08 26 13.804;+23 25 05.64;Cnc;EA;14.32;13.564;0.24;0.3;C;2455629.3657;0.76677;PC;2011;http://var2.astro.cz/czev.php?id=227
228;UCAC4 568-044258;CSS_J082630.9+232856;08 26 30.932;+23 28 55.75;Cnc;EB;14.22;13.4;0.218;0.2;C;2455628.4243;0.528598;PC;2011;http://var2.astro.cz/czev.php?id=228
229;UCAC4 511-036364;;07 09 51.545;+12 01 46.25;CMi;CWB;15.14;14.217;0.155;0.6;Rc;;;FL;2011;http://var2.astro.cz/czev.php?id=229
230;UCAC4 511-036377;USNO-A2.0 0975-04721840;07 09 56.336;+12 06 08.14;CMi;EA;15.18;13.608;0.582;1.07;Rc;2455622.4171;0.49553;FL;2011;http://var2.astro.cz/czev.php?id=230
231;UCAC4 512-035392;;07 08 59.750;+12 18 57.74;CMi;;13.01;12.547;0.188;0.05;Rc;;;FL;2011;http://var2.astro.cz/czev.php?id=231
232;UCAC4 511-035978;;07 08 19.485;+12 04 53.85;CMi;;13.87;13.249;0.158;0.1;Rc;;;FL;2011;http://var2.astro.cz/czev.php?id=232
233;UCAC4 512-035317;ES CMi;07 08 39.727;+12 14 43.01;CMi;EW;14.78;13.716;0.263;0.23;C;2455622.5046;0.38387;FL;2011;http://var2.astro.cz/czev.php?id=233
234;UCAC4 509-035332;;07 06 35.753;+11 43 46.22;CMi;EW;15.3;13.841;0.593;0.64;Rc;;;FL;2011;http://var2.astro.cz/czev.php?id=234
235;UCAC4 510-036464;;07 07 09.512;+11 53 53.52;CMi;SR;15.36;14.207;0.331;0.35;Rc;;;FL;2011;http://var2.astro.cz/czev.php?id=235
236;UCAC4 512-034708;P-VASSAR_V2;07 06 29.567;+12 22 09.16;CMi;EW;15.79;14.488;0.446;;;;;FL;2011;http://var2.astro.cz/czev.php?id=236
237;UCAC4 512-034547;;07 05 43.521;+12 18 10.35;CMi;EW;15.52;14.129;0.581;0.44;Rc;;;FL;2011;http://var2.astro.cz/czev.php?id=237
238;CzeV 233;;;;;;;;;;;;;FL;2011;http://var2.astro.cz/czev.php?id=238
239;UCAC4 510-036810;;07 08 17.953;+11 49 47.12;CMi;EW;17.41;15.335;0.425;0.66;Rc;;;FL;2011;http://var2.astro.cz/czev.php?id=239
240;UCAC4 512-034850;;07 06 57.812;+12 12 57.87;CMi;CWB;14.67;13.738;0.23;0.66;Rc;;;FL;2011;http://var2.astro.cz/czev.php?id=240
241;UCAC4 635-056716;CSS_J174928.5+365535;17 49 28.584;+36 55 35.11;Her;EB;;13.119;0.2;0.3;C;2455650.6068;0.4046;VP;2011;http://var2.astro.cz/czev.php?id=241
242;UCAC4 653-050454;KS Lyn;08 24 45.870;+40 31 31.87;Lyn;EW;13.94;12.47;0.434;0.3;C;2454500.516;0.298226;LS;2011;http://var2.astro.cz/czev.php?id=242
243;UCAC4 660-066134;CSS_J183151.6+415251;18 31 51.624;+41 52 51.38;Lyr;RRAB;15.64;14.66;0.347;0.5;Rc;;;LB;2011;http://var2.astro.cz/czev.php?id=243
244;UCAC4 818-014849;CzeV244;07 14 14.392;+73 27 29.58;Cam;HADS;13.93;13.313;0.183;0.5;C;2455672.5623;0.090844;MiM;2011;http://var2.astro.cz/czev.php?id=244
245;UCAC4 472-050711;CzeV245;14 55 24.075;+04 14 43.22;Vir;RRAB;13.76;13.221;0.381;0.9;V;2455672.488;0.513328;MM;2011;http://var2.astro.cz/czev.php?id=245
246;UCAC4 775-041961;VSX J201516.1+645805;20 15 16.119;+64 58 05.91;Dra;E;;13.403;0.475;0.5;C;;;LB;2011;http://var2.astro.cz/czev.php?id=246
247;UCAC4 775-041963;;20 15 20.817;+64 58 28.11;Dra;EW:;;15.227;0.497;0.5;C;;;LB;2011;http://var2.astro.cz/czev.php?id=247
248;UCAC4 767-059664;;21 25 30.831;+63 22 01.48;Cep;EW;15.24;13.457;0.519;0.4;C;2455711.4273;0.333317;KH, JJ;2011;http://var2.astro.cz/czev.php?id=248
249;UCAC4 614-054675;GSC 02594-00555;17 05 42.977;+32 41 11.97;Her;;14.51;12.711;0.581;;;;;FL;2011;http://var2.astro.cz/czev.php?id=249
250;UCAC4 614-054489;;17 02 00.634;+32 47 49.78;Her;EA;13.19;11.926;0.384;;;;;FL;2011;http://var2.astro.cz/czev.php?id=250
251;UCAC4 879-004307;SvkV22;16 01 56.421;+85 44 27.05;UMi;EW;14.61;13.313;0.363;0.3;C;2455676.5;0.4013;JiP;2011;http://var2.astro.cz/czev.php?id=251
252;UCAC4 877-005303;;16 17 50.440;+85 12 17.19;UMi;EW;;13.489;0.48;0.3;C;2455689.415;0.29534;JiP;2011;http://var2.astro.cz/czev.php?id=252
253;UCAC4 587-046866;;11 16 59.597;+27 23 31.22;Leo;EW;13.37;11.838;0.472;0.25;C;2456368.3409;0.276933;PC;2011;http://var2.astro.cz/czev.php?id=253
254;UCAC4 589-101431;CzeV256;19 55 03.231;+27 45 43.60;Vul;EW;;13.3;0.651;0.7;V;;;ML;2010;http://var2.astro.cz/czev.php?id=254
255;UCAC4 734-034225;CzeV255;04 11 58.978;+56 44 41.33;Cam;EW;14.88;12.58;0.369;0.61;Rc;;;ML;2010;http://var2.astro.cz/czev.php?id=255
256;CzeV 254;;;;;;;;;;;;;LS;2011;http://var2.astro.cz/czev.php?id=256
257;UCAC4 878-004821;;15 56 52.223;+85 28 12.44;UMi;EA;11.02;9.978;0.354;0.6;C;;;JiP;2011;http://var2.astro.cz/czev.php?id=257
258;UCAC4 767-059618;;21 24 46.791;+63 18 13.46;Cep;EW:;15.59;13.806;0.453;0.7;C;2455711.493;0.52758;KH, JJ;2011;http://var2.astro.cz/czev.php?id=258
259;UCAC4 767-059852;;21 28 03.470;+63 22 19.31;Cep;EW:;;13.981;0.605;0.4;C;2455711.47;0.386922;KH, JJ;2011;http://var2.astro.cz/czev.php?id=259
260;UCAC4 766-061324;;21 26 15.112;+63 10 35.92;Cep;DSCT;;13.488;0.703;0.3;C;2456006.484;0.255109;KH, JJ;2011;http://var2.astro.cz/czev.php?id=260
261;UCAC4 603-084273;CzeV261;19 33 30.602;+30 26 09.91;Cyg;EW:;13.07;11.897;0.414;0.38;C;2455732.4059;0.335599;KH, JJ;2011;http://var2.astro.cz/czev.php?id=261
262;UCAC4 560-033010;CzeV262;06 39 45.062;+21 51 20.17;Gem;EW;;13.546;0.523;0.33;Rc;;;ML;2011;http://var2.astro.cz/czev.php?id=262
263;UCAC4 640-050794;CSS_J154915.7+375506;15 49 15.756;+37 55 06.06;CrB;EB;13.92;13.083;0.249;0.3;Rc;2453128.594;0.377998;PeC;2011;http://var2.astro.cz/czev.php?id=263
264;UCAC4 706-118319;;23 48 46.421;+51 04 22.18;Cas;EA;14.94;14.16;0.345;0.7;Rc;;;LB;2011;http://var2.astro.cz/czev.php?id=264
265;UCAC4 685-011942;CzeV265;02 02 51.509;+46 48 08.19;And;EW;16.09;14.451;0.505;0.4;C;;;JT;2011;http://var2.astro.cz/czev.php?id=265
266;UCAC4 683-011974;2MASS J02041126+4633140;02 04 11.256;+46 33 13.97;And;EA;14.94;13.479;0.517;0.4;C;2451999.818;1.0077;JT;2011;http://var2.astro.cz/czev.php?id=266
267;UCAC4 684-011859;CzeV267;02 04 28.770;+46 46 58.88;And;EW;16.02;14.332;0.511;0.8;C;;;JT;2011;http://var2.astro.cz/czev.php?id=267
268;UCAC4 640-011843;V0996 Per;03 00 31.120;+37 59 07.57;Per;EW;15.01;13.437;0.397;0.9;C;2455819.5027;0.38799;MiM;2011;http://var2.astro.cz/czev.php?id=268
269;UCAC4 683-012116;;02 05 26.461;+46 33 31.28;And;EW:;15.26;13.905;0.521;0.3;C;;;JT;2011;http://var2.astro.cz/czev.php?id=269
270;UCAC4 627-116729;GSC 02712-01201;21 34 57.640;+35 12 51.47;Cyg;EA;10.64;10.42;0.003;0.3;C;2454298.2205;1.87792;MM;2011;http://var2.astro.cz/czev.php?id=270
271;UCAC4 610-030167;CzeV271;06 12 39.997;+31 57 23.85;Aur;EA;15.65;14.121;0.407;1.2;C;2455831.5888;0.88712;VP;2011;http://var2.astro.cz/czev.php?id=271
272;UCAC4 517-114238;;19 54 52.157;+13 16 26.24;Aql;DSCT;14.15;13.27;0.491;0.18;C;2455834.4152;0.087394;PC;2011;http://var2.astro.cz/czev.php?id=272
273;UCAC4 517-114737;;19 55 50.670;+13 12 45.49;Aql;EW;15.45;14.253;0.68;0.6;C;2457661.3115;0.279456;PC;2011;http://var2.astro.cz/czev.php?id=273
274;UCAC4 519-115804;;19 55 51.293;+13 40 25.47;Aql;EA;12.98;11.596;0.326;0.57;C;2455834.397;3.781898;PC;2011;http://var2.astro.cz/czev.php?id=274
275;UCAC4 520-116229;;19 53 58.291;+13 56 54.92;Aql;EW;;13.864;0.241;0.5;C;2456223.3375;0.438389;PC;2011;http://var2.astro.cz/czev.php?id=275
276;UCAC4 516-118485;;19 54 29.161;+13 07 50.58;Aql;HADS;;14.031;0.247;0.35;C;2456212.3;0.313157;PC;2011;http://var2.astro.cz/czev.php?id=276
277;UCAC4 520-116759;;19 54 57.596;+13 50 53.34;Aql;EW;;13.507;0.413;0.25;C;2456220.3507;0.384263;PC;2011;http://var2.astro.cz/czev.php?id=277
278;UCAC4 520-116786;;19 55 00.421;+13 50 53.07;Aql;EW;;13.586;0.358;0.27;C;2456212.3613;0.438751;PC;2011;http://var2.astro.cz/czev.php?id=278
279;UCAC4 517-114361;;19 55 08.368;+13 17 39.36;Aql;DSCT:;14.81;12.601;0.716;0.1;C;2455834.3548;0.577148;PC;2011;http://var2.astro.cz/czev.php?id=279
280;UCAC4 519-115568;;19 55 24.221;+13 37 26.69;Aql;DSCT:;15.88;14.877;0.401;0.1;C;2455834.6298;0.426203;PC;2011;http://var2.astro.cz/czev.php?id=280
281;UCAC4 517-114618;;19 55 36.744;+13 12 46.24;Aql;EW;;14.339;0.26;0.6;C;2455834.3444;0.469214;PC;2011;http://var2.astro.cz/czev.php?id=281
282;USNO-B1.0 1036-0518355;;19 55 37.924;+13 41 36.07 ;Aql;EW;;15.531;0.444;0.4;C;2455836.42;0.46681;PC;2011;http://var2.astro.cz/czev.php?id=282
283;UCAC4 519-115682;CzeV283;19 55 38.139;+13 43 22.25;Aql;RRAB;;14.265;0.396;0.9;C;2456222.3286;0.558488;PC;2011;http://var2.astro.cz/czev.php?id=283
284;UCAC4 519-116052;;19 56 20.970;+13 47 01.96;Aql;EW;;14.58;0.292;0.3;C;2455834.3046;0.441376;PC;2011;http://var2.astro.cz/czev.php?id=284
285;UCAC4 519-116064;;19 56 21.932;+13 37 02.61;Aql;DSCT;;14.243;0.53;0.1;C;2457627.37;0.169909;PC;2011;http://var2.astro.cz/czev.php?id=285
286;UCAC4 518-118829;;19 56 31.993;+13 27 55.52;Aql;EW;;13.93;0.757;0.4;C;2455834.3699;0.295071;PC;2011;http://var2.astro.cz/czev.php?id=286
287;UCAC4 517-115282;;19 56 44.298;+13 20 04.33;Aql;EW;15;13.638;0.356;0.3;C;2455834.3261;0.3903;PC;2011;http://var2.astro.cz/czev.php?id=287
288;UCAC4 519-116268;;19 56 48.726;+13 39 25.34;Aql;EW;;14.402;0.456;0.25;C;2455856.3412;0.413304;PC;2011;http://var2.astro.cz/czev.php?id=288
289;UCAC4 519-116381;;19 57 04.909;+13 37 45.09;Aql;DSCT;;14.839;0.517;0.35;C;2456220.5791;0.108759;PC;2011;http://var2.astro.cz/czev.php?id=289
290;UCAC4 515-117419;;19 57 11.198;+12 59 02.58;Aql;EW;;14.577;0.587;0.4;C;2455851.302;0.3542;PC;2011;http://var2.astro.cz/czev.php?id=290
291;UCAC4 516-120052;;19 57 14.368;+13 10 56.90;Aql;EW;;14.477;0.212;0.5;C;2456212.3436;0.491058;PC;2011;http://var2.astro.cz/czev.php?id=291
292;UCAC4 516-120168;;19 57 27.453;+13 08 30.50;Aql;EW;;14.11;0.389;0.45;C;2456212.3922;0.40205;PC;2011;http://var2.astro.cz/czev.php?id=292
293;UCAC4 512-075014;;18 28 54.893;+12 21 24.41;Her;HADS;15.67;14.748;0.295;0.6;V;2456522.5859;0.05572;PC;2011;http://var2.astro.cz/czev.php?id=293
294;UCAC4 512-074766;;18 28 12.407;+12 22 34.26;Her;DSCT;15.16;14.334;0.289;0.26;C;2456519.385;0.0515;PC;2011;http://var2.astro.cz/czev.php?id=294
295;UCAC4 512-074362;;18 27 00.492;+12 19 44.32;Her;EW;15.3;14.751;0.452;;;2456159.3608;0.24757;PC;2011;http://var2.astro.cz/czev.php?id=295
296;USNO-B1.0 1025-0400161;;18 28 18.437;+12 30 58.33;Her;EW;;15.816;0.684;0.25;C;2456155.375;0.450419;PC;2011;http://var2.astro.cz/czev.php?id=296
297;UCAC4 514-076387;;18 26 55.490;+12 41 44.58;Her;EW;;14.302;0.513;0.8;C;2456159.4752;0.392015;PC;2011;http://var2.astro.cz/czev.php?id=297
298;UCAC4 510-079487;;18 26 56.118;+11 53 16.06;Oph;RS;16.2;13.29;0.882;0.62;C;2456132.3903;0.68832;PC;2011;http://var2.astro.cz/czev.php?id=298
299;UCAC4 512-074575;;18 27 41.076;+12 13 20.48;Her;EW;14.06;12.895;0.723;0.36;C;2456155.3706;0.252416;PC;2011;http://var2.astro.cz/czev.php?id=299
300;UCAC4 511-077001;;18 28 38.306;+12 03 37.34;Oph;RS;;14.538;0.397;0.7;C;2456156.068;1.325332;PC;2011;http://var2.astro.cz/czev.php?id=300
301;UCAC4 510-080373;;18 29 16.582;+11 59 58.63;Oph;EW;;14.461;0.606;0.8;V;2456159.408;0.330109;PC;2011;http://var2.astro.cz/czev.php?id=301
302;UCAC4 513-078420;;18 29 21.555;+12 27 17.59;Her;EW;15.17;13.438;0.381;0.73;C;2456152.4455;0.38905;PC;2011;http://var2.astro.cz/czev.php?id=302
303;USNO-B1.0 1027-0420638;;18 29 29.856;+12 45 06.03 ;Her;EW;;14.01;0.842;0.85;C;2456131.4235;0.284593;PC;2011;http://var2.astro.cz/czev.php?id=303
304;UCAC4 509-079377;;18 30 47.159;+11 46 48.71;Oph;RRC;15.7;14.287;0.337;0.35;C;2456157.44;0.25632;PC;2011;http://var2.astro.cz/czev.php?id=304
305;UCAC4 569-054392;LINEAR 16562635;16 15 18.845;+23 44 12.31;Her;E;16.2;14.485;0.735;0.6;C;;;VP;2011;http://var2.astro.cz/czev.php?id=305
